hi	hello what can i help you with today
can you book a table	i'm on it
<SILENCE>	any preference on a type of cuisine
i love italian food	where should it be
in paris	how many people would be in your party
we will be two	which price range are looking for
in a cheap price range please	ok let me look into some options for you
<SILENCE>	api_call italian paris two cheap
hello	hello what can i help you with today
can you book a table	i'm on it
<SILENCE>	any preference on a type of cuisine
i love italian food	where should it be
in london	how many people would be in your party
we will be eight	which price range are looking for
i am looking for a cheap restaurant	ok let me look into some options for you
<SILENCE>	api_call italian london eight cheap
hi	hello what can i help you with today
may i have a table in a moderate price range with british cuisine for two in bombay	i'm on it
<SILENCE>	ok let me look into some options for you
<SILENCE>	api_call british bombay two moderate
hi	hello what can i help you with today
i'd like to book a table with british cuisine	i'm on it
<SILENCE>	where should it be
in bombay	how many people would be in your party
for two please	which price range are looking for
in a expensive price range please	ok let me look into some options for you
<SILENCE>	api_call british bombay two expensive
good morning	hello what can i help you with today
can you book a table	i'm on it
<SILENCE>	any preference on a type of cuisine
with indian cuisine	where should it be
in london	how many people would be in your party
we will be six	which price range are looking for
i am looking for a moderate restaurant	ok let me look into some options for you
<SILENCE>	api_call indian london six moderate
hi	hello what can i help you with today
can you make a restaurant reservation for four	i'm on it
<SILENCE>	any preference on a type of cuisine
with spanish food	where should it be
madrid please	which price range are looking for
in a expensive price range please	ok let me look into some options for you
<SILENCE>	api_call spanish madrid four expensive
hi	hello what can i help you with today
can you book a table for two with indian food	i'm on it
<SILENCE>	where should it be
madrid please	which price range are looking for
i am looking for a cheap restaurant	ok let me look into some options for you
<SILENCE>	api_call indian madrid two cheap
hi	hello what can i help you with today
can you make a restaurant reservation for four people with french cuisine in a moderate price range	i'm on it
<SILENCE>	where should it be
paris please	ok let me look into some options for you
<SILENCE>	api_call french paris four moderate
hello	hello what can i help you with today
may i have a table in paris for eight with indian cuisine in a cheap price range	i'm on it
<SILENCE>	ok let me look into some options for you
<SILENCE>	api_call indian paris eight cheap
hello	hello what can i help you with today
can you book a table for six people in a cheap price range	i'm on it
<SILENCE>	any preference on a type of cuisine
with italian food	where should it be
in madrid	ok let me look into some options for you
<SILENCE>	api_call italian madrid six cheap
good morning	hello what can i help you with today
can you make a restaurant reservation with spanish cuisine in a cheap price range for two people	i'm on it
<SILENCE>	where should it be
paris please	ok let me look into some options for you
<SILENCE>	api_call spanish paris two cheap
hello	hello what can i help you with today
can you book a table with french cuisine for eight people in a cheap price range	i'm on it
<SILENCE>	where should it be
in madrid	ok let me look into some options for you
<SILENCE>	api_call french madrid eight cheap
good morning	hello what can i help you with today
can you book a table with italian food for six people in madrid	i'm on it
<SILENCE>	which price range are looking for
i am looking for a expensive restaurant	ok let me look into some options for you
<SILENCE>	api_call italian madrid six expensive
hello	hello what can i help you with today
may i have a table in rome for four with italian cuisine	i'm on it
<SILENCE>	which price range are looking for
in a moderate price range please	ok let me look into some options for you
<SILENCE>	api_call italian rome four moderate
good morning	hello what can i help you with today
i'd like to book a table in a expensive price range in paris	i'm on it
<SILENCE>	any preference on a type of cuisine
with french cuisine	how many people would be in your party
for eight people please	ok let me look into some options for you
<SILENCE>	api_call french paris eight expensive
hi	hello what can i help you with today
can you make a restaurant reservation for four people in bombay with british cuisine	i'm on it
<SILENCE>	which price range are looking for
i am looking for a cheap restaurant	ok let me look into some options for you
<SILENCE>	api_call british bombay four cheap
hello	hello what can i help you with today
may i have a table with indian cuisine in paris	i'm on it
<SILENCE>	how many people would be in your party
for eight people please	which price range are looking for
i am looking for a moderate restaurant	ok let me look into some options for you
<SILENCE>	api_call indian paris eight moderate
hello	hello what can i help you with today
i'd like to book a table	i'm on it
<SILENCE>	any preference on a type of cuisine
with indian cuisine	where should it be
in bombay	how many people would be in your party
for eight please	which price range are looking for
i am looking for a expensive restaurant	ok let me look into some options for you
<SILENCE>	api_call indian bombay eight expensive
hi	hello what can i help you with today
can you book a table with french food in paris for six	i'm on it
<SILENCE>	which price range are looking for
in a cheap price range please	ok let me look into some options for you
<SILENCE>	api_call french paris six cheap
hello	hello what can i help you with today
may i have a table	i'm on it
<SILENCE>	any preference on a type of cuisine
with indian cuisine	where should it be
rome please	how many people would be in your party
for eight people please	which price range are looking for
in a cheap price range please	ok let me look into some options for you
<SILENCE>	api_call indian rome eight cheap
hi	hello what can i help you with today
i'd like to book a table with italian food for eight in a expensive price range	i'm on it
<SILENCE>	where should it be
bombay please	ok let me look into some options for you
<SILENCE>	api_call italian bombay eight expensive
hello	hello what can i help you with today
may i have a table in paris in a moderate price range with indian cuisine	i'm on it
<SILENCE>	how many people would be in your party
we will be six	ok let me look into some options for you
<SILENCE>	api_call indian paris six moderate
hi	hello what can i help you with today
may i have a table	i'm on it
<SILENCE>	any preference on a type of cuisine
with italian food	where should it be
bombay please	how many people would be in your party
we will be six	which price range are looking for
in a expensive price range please	ok let me look into some options for you
<SILENCE>	api_call italian bombay six expensive
hello	hello what can i help you with today
can you make a restaurant reservation in madrid in a moderate price range	i'm on it
<SILENCE>	any preference on a type of cuisine
i love italian food	how many people would be in your party
for two please	ok let me look into some options for you
<SILENCE>	api_call italian madrid two moderate
hi	hello what can i help you with today
can you make a restaurant reservation for eight in a expensive price range	i'm on it
<SILENCE>	any preference on a type of cuisine
with french food	where should it be
paris please	ok let me look into some options for you
<SILENCE>	api_call french paris eight expensive
hello	hello what can i help you with today
can you make a restaurant reservation in a moderate price range with italian food in paris for eight	i'm on it
<SILENCE>	ok let me look into some options for you
<SILENCE>	api_call italian paris eight moderate
hi	hello what can i help you with today
may i have a table in rome in a cheap price range for eight with french food	i'm on it
<SILENCE>	ok let me look into some options for you
<SILENCE>	api_call french rome eight cheap
hello	hello what can i help you with today
i'd like to book a table in rome for eight people in a cheap price range	i'm on it
<SILENCE>	any preference on a type of cuisine
with spanish food	ok let me look into some options for you
<SILENCE>	api_call spanish rome eight cheap
hello	hello what can i help you with today
can you book a table in rome with spanish cuisine in a expensive price range for two people	i'm on it
<SILENCE>	ok let me look into some options for you
